,Id_hotel,Hotel_name
0,100MJolqcd254H,"Condo Hotel
Maison de la Lagune"
1,101mvri2f9iaxH,Hotel maison d hôtes tifrit
2,102Mlcmlrnkb2H,Hotel Manzil Hotel
3,103MA4xzaz0u7H,Hotel Mazagan Beach & Golf Resort
4,104Mn5vykwhrqH,Hotel Mercure Shéhérazade Rabat
5,105Mzbr5k937wH,Hotel MID TOWN Hotel Casablanca
6,106MAaaioeheyH,"Hotel Mirage d Atlas, Hotel et Spa Marrakech"
7,107MC7ajizzyjH,Hotel Moment Hotels
8,108MTf5p90c7yH,Hotel Moroccan House
9,109Mxhsa9wjuzH,Hotel Mövenpick Hotel Casablanca
10,10Basyv19igmH,Hotel Be Live Collection Saïdia
11,110Oad5a2r6esH,Hotel Oasis Palm Hotel
12,111OAky4vctq4H,"Condo Hotel
Ocean Atlantic View (Ex Bo Hotel)"
13,112OMzzy97tkoH,Hotel ONOMO Hotel Casablanca City Center
14,113PZqjv3zl4kH,Hotel Premiere Classe Casablanca Centre Ville
15,114PW91y2joowH,Hotel Prestige Hotel & Spa
16,115Rg6t1axkxjH,Hotel Radisson Blu Hotel Casablanca City Center
17,116Rewwt0ii91H,Hotel Radisson Blu Resort Al Hoceima
18,117RQp8e6lx61H,Hotel Radisson Blu Resort Saidia Beach
19,118RZjascteolH,Hotel Relax Airport
20,119Rkvdwo7we2H,Hotel Residence Ezzahia
21,11CK7kgk28gbH,Hotel Canyon Lodge Désert Agafay
22,120Rnt6u3356zH,Hotel Rihab Hotel
23,121RNdlr6iv2tH,"Condo Hotel
Résidence La Place"
24,122Sv44v9zm6lH,Hotel Senator Agadir Hotel
25,123SXbzwvl28lH,Hotel Sofitel Tamuda Bay Beach And Spa
26,124SR8jlgq9cyH,Hotel STARS HOTEL
27,125SpmzkmpeumH,Hotel Suerte-Loca
28,126Saw1ob6a55H,Hotel Suite Azur Hotel
29,127Szmvnx4dogH,Hotel Suites Hotel Mohammed V by Accor
30,128TLy5znqfusH,Hotel Tassili Luxury Desert Camp
31,129Zimltnqh0aH,Hotel Zephyr Targa Marrakech
32,12CZzwg6tnf0H,Hotel Caravan Serai
33,13CQi144kgerH,Hotel Casa Las Tortugas Petit Beach Hotel & Spa
34,14Cvkdbv0kd9H,Hotel Casablanca Le Lido Thalasso & Spa (ex Riad Salam)
35,15Cvi9cjqakcH,Hotel Chez Le Pacha
36,16Cufy7kasodH,Hotel Club Paradisio
37,17DPtqlqvy4hH,Hotel Diwane Hotel & Spa Marrakech
38,18DT7gqfx63uH,Hotel Diyar Timnay
39,19EVb8upq7mcH,Hotel El Oumnia Puerto & Spa
40,1AJzpfp5xaxH,"Condo Hotel
Appart Hotel Monaco"
41,20Eqs3gupc1eH,Hotel El Pueblo Tamlelt - All Inclusive
42,21EXwu2dhuwtH,Hotel Equi Palace & SPA Near Aeroport
43,22FHmpmt8s5wH,Hotel Fellah Hotel
44,23foamnttzh4H,Hotel ferme by Ikalimo
45,24Gwc6mc53d2H,Hotel Gardenia Hotel Agdal Rabat
46,25Hx4axwimtmH,Hotel Hilton Garden Inn Tanger City Centre
47,26Hf2sf26pi7H,Hotel Hotel Akouas
48,27Hhq9ro3ve9H,Hotel Hotel Al Mamoun
49,28HS198bn4pnH,Hotel Hotel Al Massira
50,29Hb34oikji9H,Hotel Al Masa Hotel
51,2AWn36hbp91H,"Hotel Appart, Hotel & Café Agadir"
52,30Hpl8oob1toH,Hotel Atlas Hotel
53,31Hvlq0b38hdH,Hotel Hotel Avenue Suites Deluxe
54,32Hj3ybub698H,Hotel Hotel Ayoub & Spa
55,33Hj90k9fopjH,Hotel Hotel Bab Mansour
56,34HyltpehultH,Hotel Hotel Bellerive
57,35Hx12exsrvnH,Hotel Hotel Carrefour des Nomades
58,36HXlud9dxk7H,Hotel Hotel Coeur de Mogador
59,37HNjczy9hfiH,"Hotel Pearl Continental Hotel, Bhurban"
60,38HRgkb5sdxjH,Hotel HOTEL DELTA ATLAS
61,39Hukzn2gccgH,Hotel Hotel Du Golf
62,3An1lkme2axH,"Condo Hotel
Apparts-hôtel ISNI"
63,40Hug7telw70H,Hotel Hotel El Djenina
64,41HEzshzrbm3H,Hotel Hotel Etoile Du Nord
65,42Ho48yx7heqH,Hotel Hotel France Ouzoud
66,43HVjofo88vlH,Hotel Hotel Imilchil
67,44Himo37a0mxH,Hotel Hotel Imperial Plaza & Spa
68,45Hg0dm4nv9kH,Hotel Hotel la Felouk
69,46Hoduf7em1jH,Hotel Hotel LAHLOU riad Cafeteria
70,47HQkeu5pwfjH,Hotel Hotel Lawrence d Arabie
71,48Hdbpb2mw72H,Hotel Hotel Le Gardenia (ex Lutetia)
72,49Hk4tnwayz4H,Hotel Hotel Les Trois Palmiers
73,4Ajhdsfev14H,Hotel Atlas Amadil Beach Hotel
74,50Hdq30w9mvhH,Hotel Four Seasons Hotel Istanbul at the Bosphorus
75,51HN2jrjfj52H,Hotel Hotel Marrakech le Tichka
76,52HUrmks7sz6H,Hotel Hotel Meriem Marrakech
77,53HlnrathsqeH,Hotel Hotel Moroccan House
78,54Hcv8xp3xciH,Hotel Hotel Palais Al Bahja
79,55HK1s4t1dsyH,Hotel Hotel Parador
80,56HXl6hbglqcH,Hotel Hotel Relax Marrakech
81,57HFilje6qd3H,Hotel Hotel Restaurant Bougafer
82,58HB6dy1a91bH,Hotel Hotel Riu Palace Tikida Taghazout - All Inclusive
